,0
893,"그동안 내 전망이 들어맞은 것은 내게 신기가 있어서가 아니다. 나의 전망이 적중률이 높은 것은 그것이 단지 내 개인의 경험과 생각에서 나온 것이 아니라 거인들의 통찰력을 빌렸기 때문이다. 나의 거인은 역사 속에 살아 있는 경제학 거장들이다.
나는 이 책을 통해서 내가 인문학을 공부하면서 알게 된 거인들의 투자 통찰을 아주 알기 쉽게 알려주려 한다. 이론과 메시지는 노벨 경제학상을 수상한 경제학자들을 중심으로 소개하고 있다. 왜냐하면 경제학 이론은 너무나도 다양하고 심지어는 상반된 이론을 주장하는 경제학자도 많기 때문이다. 노벨 ... 더보기"
894,"80만 회원 네이버 카페 ‘부동산 스터디’ 성지순례
뼈아픈 시행착오와 인문학적 통찰로 다져진 절대 실패하지 않는 투자의 기술

인문학 속 거인들에게 배우는 돈의 흐름과 부의 작동원리

이 책은 네이버 카페 ‘부동산 스터디’ 회원들의 ‘성지순례’로 명성 높은 브라운스톤(네이버 닉네임 : 우석)의 ‘자본주의 게임에서 반드시 이기는 부의 법칙’을 담고 있다. 그는 500만 원으로 50억 원을 만든 실전 투자가다. 하지만 그는 이 모든 이야기가 자신의 개인적인 경험이나 생각에서 나온 것은 아니라고 말한다. 자신의 전망이 마치 예... 더보기"
895,"현대지성에서는 출간 즉시 베스트셀러가 된 『데일 카네기 인간관계론』에 이어 저자의 또 다른 역작 『데일 카네기 자기관리론』을 펴냈다. 이 책은 국내에서 유일하게 1948년 초판의 10부까지 고스란히 담은 ‘오리지널’ 초판 완역본이다. 벼락을 맞아도 끄떡없고, 숱한 폭풍우를 꿋꿋이 견뎌낸 아름드리 고목이 사람의 손가락 마디만 한 딱정벌레의 공격을 받아 맥없이 쓰러진다. 사자도 함부로 덤비지 못할 만큼 전투력이 강한 코끼리가 꿀벌의 가느다란 침에 속수무책으로 당한다. 우리 인생도 다르지 않다. “개미구멍 하나가 큰 제방 둑을 무너뜨린다”라는 속담처럼 사소한 걱정에 쉽게 마음을 내주어 인생을 망치는 사람이 수두룩하다. 걱정은 내일의 슬픔을 덜어주지 않고 도리어 오늘 살아갈 힘을 앗아가기에, 걱정이 인생을 좀먹도록 내버려둔다면 언젠가 큰 대가를 치르게 된다. 베스트셀러 『인간관계론』 저자인 데일 카네기는 성인들에게 화술과 인간관계를 가르치는 동안 ‘걱정’이 모든 인생 문제의 주원인이자 자기관리의 핵심 요소임을 깨달았다. 그래서 ‘걱정을 멈추고 새로운 인생을 사는 법’을 교육하기로 마음먹었다. 하지만 문제가 생겼다. 교과서로 삼기에 적합한 책을 찾을 수 없었던 것이다. 결국 직접 쓸 수밖에 없었다. 이것이 또 한 권의 세계적인 베스트셀러가 탄생하게 된 배경이다.

그는 동서고금의 온갖 자료를 샅샅이 훑으면서 각 분야의 전문가에게 조언을 들었다. 뿐만 아니라 170여 개 도시에서 열린 강좌를 ‘걱정 극복 실험실’로 삼아 수많은 사례를 수집하고 분석한 끝에 ‘마법의 공식’을 도출했다. 준비 기간 포함 7년에 걸쳐 집필한 이 책에는 걱정을 떨쳐내게 해줄 모든 지혜가 간결하고도 명확하게 담겨 있다. 또한 각계각층의 명사들 및 평범한 이웃들의 생생한 사례와 함께 당장 적용할 수 있는 구체적인 해결책을 제시했다. 모두 그가 활동하던 20세기 초부터 한 세기에 걸쳐 효과가 입증된 방법들이다. 걱정 없이 살게 해줄 가장 적실하고 효과적인 실행법을 수록한 이 책은 카네기의 또 다른 역작 『인간관계론』과 함께 자기계발서의 원전(原典)으로 손꼽힌다. 지금의 나를 넘어 보다 행복한 인생을 꿈꾼다면, 핵심을 콕콕 집어 전달하면서 무기력한 일상을 깨우고 변화의 길로 이끄는 카네기의 조언에 귀를 기울여보자.

“나는 데일 카네기에게 인생에서 가장 중요한 것을 배웠다.” _워런 버핏"
896,
897,"왜, 어떻게 이 책을 쓰게 되었나
이 책을 잘 활용하기 위한 9가지 제안

1부 걱정에 대해 알아야 할 기본 지식
1장 오늘을 충실하게 살아가라
2장 걱정을 해결해줄 마법의 공식
3장 걱정이 삶에 미치는 영향

2부 걱정을 분석하는 기본 기술
1장 문제를 분석하고 해결하는 법
2장 직업상의 걱정을 반으로 줄이는 법

3부 걱정이 나를 망치기 전에 걱정하는 습관을 없애는 법
1장 마음속에서 걱정을 몰아내는 법
2장 딱정벌레 때문에 쓰러지지 말라
3장 온갖 걱정을 떨쳐버리는 법
4장 피할 수 없는 일을 대하는 법
5장 걱정을 ‘손절매’ 하라
6장 톱밥을 다시 켜지 말라

4부 평화와 행복을 부르는 7가지 자세
1장 삶을 바꿔줄 한 문장
2장 지혜롭게 보복하는 법
3장 감사할 줄 모르는 사람에게 상처받지 않는 법
4장 백만 달러보다 가치 있는 것
5장 나를 찾고 내 모습대로 사는 법
6장 레몬을 얻으면 레모네이드를 만들라
7장 2주 만에 우울증을 치료하는 법

5부 걱정을 이겨내게 해줄 강력한 법칙
1장 부모님께 배운 걱정 극복 비결

6부 비판을 받아도 걱정하지 않는 법
1장 죽은 개를 걷어차는 사람은 없다
2장 부당한 비난에 대처하는 법
3장 내가 저지른 바보짓들

7부 피로와 걱정을 예방하고 활력과 의욕을 높이는 6가지 법칙
1장 하루 1시간 더 활동할 수 있는 비결
2장 피로의 원인과 대처법
3장 가정주부가 피로를 풀고 젊게 사는 법
4장 피로와 걱정을 예방하는 4가지 업무 습관
5장 피로, 걱정, 분노를 일으키는 주범
6장 불면증을 걱정하지 않는 법

8부 행복과 성공이라는 두 마리 토끼를 잡는 법
1장 인생에서 가장 중요한 결정

9부 돈 걱정을 줄이는 법
1장 걱정의 70퍼센트는 돈 문제다

10부 “나는 이렇게 걱정을 극복했다!”
저자에게 영감을 준 32편의 생생한 이야기"
898,"나는 5년 동안 ‘걱정 극복 실험실’에서 일했다. 바로 성인 대상의 내 수업 시간이다. 내가 아는 한, 이런 목적을 위해 만든 세계 최초의 실험실이다. 우리는 학생들에게 걱정을 극복하는 방법을 몇 가지 제시하고, 이를 자신의 삶에 적용해본 다음, 결과를 수업 시간에 발표해달라고 요청했다. 몇몇 학생들은 자신이 전에 사용했던 방법을 나누었다.
이 과정을 통해 나는 세상 누구보다 많은 ‘걱정 극복법’을 들었다고 자부한다. 미국과 캐나다의 170여 도시에서 열린 수업을 통해 선정된 수백 가지 사례도 접했다. 그러므로 이 책은 대학이라는... 더보기"
899,"‘걱정 없는 삶’은 더 이상 꿈이 아니다!
걱정 습관을 없애는 검증된 방법과 실천법

수상한 실험실이 있다. 화면에 복잡한 데이터가 나타나는 측정 기구도 없고 화학 물질이 가득한 선반도 보이지 않는다. 빼곡하게 들어찬 사람들이 열띤 목소리로 이야기를 나눌 뿐이다. 이름도 특이하다. “걱정 극복 실험실.” 과연 이곳에서 누가 어떤 연구를 하는 것일까?
실험실을 연 사람은 『인간관계론』의 저자 데일 카네기다. 평범한 세일즈맨에서 베스트셀러 저자이자 명강사로 거듭난 그는 모든 인생 문제의 주원인이 ‘걱정’임을 깨달았다. 많은 ... 더보기"
900,"어릴 때부터 성격이 어두워 사람들과 쉽게 친해지지 못하는 사람이 있다. 언제까지 다른 사람들과의 관계 때문에 전전긍긍하며 살아야 할지, 그는 오늘도 고민이다. 이런 그의 고민에 “인간은 변할 수 있고, 누구나 행복해 질 수 있다. 단 그러기 위해서는 ‘용기’가 필요하다”고 말한 철학자가 있다. 바로 프로이트, 융과 함께 ‘심리학의 3대 거장’으로 일컬어지고 있는 알프레드 아들러다.

『미움받을 용기』는 아들러 심리학에 관한 일본의 1인자 철학자 기시미 이치로와 베스트셀러 작가인 고가 후미타케의 저서로, 아들러의 심리학을 ‘대화체’로 쉽고 맛깔나게 정리하고 있다. 아들러 심리학을 공부한 철학자와 세상에 부정적이고 열등감 많은 청년이 다섯 번의 만남을 통해 ‘어떻게 행복한 인생을 살 것인가’라는, 모두가 궁금해하는 질문에 답을 찾아가는 여정을 그렸다.

첫 번째 밤부터 다섯 번째 밤까지의 순서로 진행되는 동안 철학자와 청년의 대화는 점점 긴장감을 불러일으키며 재미를 더한다. 특히 철학자의 주장에 이어지는 청년의 반박은 공감대를 한껏 불러일으킨다. 여기에 시대를 읽는 유쾌한 문화심리학자이자 《남자의 자격》, 《에디톨로지》의 저자 김정운 교수가 감수를 맡아 내용의 깊이까지 더해졌다."
901,"▶ 『미움받을 용기』 북트레일러


▶ 『미움받을 용기. 2』 북트레일러


* 출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다.
* window7의 경우 사운드 연결이 없을시, 동영상 재생에 오류가 발생할 수 있습니다. 이어폰, 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다."
902,
903,"감수자의 말
시작하며

첫 번째 밤 트라우마를 부정하라
알려지지 않은 ‘제3의 거장’
인간이 변할 수 있는 이유는 무엇인가
트라우마란 존재하지 않는다
인간은 분노를 지어낸다
과거에 지배받지 않는 삶
소크라테스, 그리고 아들러
당신은 ‘이대로’ 좋습니까?
나의 불행은 스스로 ‘선택’한 것
인간은 끊임없이 ‘변하지 않겠다’고 결심한다
나의 인생은 ‘지금, 여기’에서 결정된다

두 번째 밤 모든 고민은 인간관계에서 비롯된다
모든 고민은 ‘인간관계에서 비롯된 고민’이다
열등감은 주관적인 감정이다
변명으로서의 열등 콤플렉스
자랑하는 사람은 열등감을 느끼는 사람
인생은 타인과의 경쟁이 아니다
내 얼굴을 주의 깊게 보는 사람은 나뿐이다
권력투쟁에서 복수로
잘못을 인정하는 것은 패배가 아니다
‘인생의 과제’를 어떻게 극복할 것인가
붉은 실과 단단한 쇠사슬
‘인생의 거짓말’을 외면하지 말라
‘소유의 심리학’에서 ‘사용의 심리학’으로

세 번째 밤 타인의 과제를 버리라
인정욕구를 부정한다
‘그 사람’의 기대를 만족시키기 위해 살지 말라
‘과제를 분리’하라
타인의 과제를 버리라
인간관계의 고민을 단숨에 해결하는 방법
‘고르디우스의 매듭’을 끊으라
인정욕구는 부자유를 강요한다
진정한 자유란 무엇인가
인간관계의 카드는 ‘내’가 쥐고 있다

네 번째 밤 세계의 중심은 어디에 있는가
개인심리학과 전체론
인간관계의 목표는 ‘공동체 감각’을 향한 것
왜 ‘나’ 이외에는 관심을 두지 않는가
나는 세계의 중심이 아니다
더 큰 공동체의 소리를 들으라
칭찬도 하지 말고, 야단도 치지 말라
‘용기 부여’를 하는 과정
스스로 가치 있는 사람이라고 생각하려면
여기에 존재하는 것만으로 가치가 있다
인간은 ‘나’를 구분할 수 없다

다섯 번째 밤 ‘지금, 여기’를 진지하게 살아간다
과도한 자의식이 브레이크를 건다
자기긍정이 아닌 자기수용을 하라
신용과 신뢰는 어떻게 다른가
일의 본질은 타인에게 공헌하는 것
젊은 사람은 어른보다 앞서나간다
일이 전부라는 인생의 거짓말
인간은 지금, 이 순간부터 행복해질 수 있다
‘특별한 존재’가 되고픈 사람 앞에 놓인 두 갈래 길
평범해질 용기
인생이란 찰나의 연속이다
춤을 추듯 살라
‘지금, 여기’에 강렬한 스포트라이트를 비추라
인생 최대의 거짓말
무의미한 인생에 ‘의미’를 부여하라"
904,"남의 이목에 신경 쓰느라 현재 자신의 행복을 놓치는 실수를 범해서는 안 된다. 내가 아무리 잘 보이려고 애써도 나를 미워하고 싫어하는 사람은 반드시 있게 마련이니 미움받는 것을 두려워해서는 안 된다. 그 누구도 거울 속의 내 얼굴을 나만큼 오래 들여다보지 않기 때문이다. 남들 이목 때문에 내 삶을 희생하는 바보 같은 짓이 어디 있느냐는 저자의 주장은 일상의 인간관계에서뿐 아니라 페이스북의 ‘좋아요’나 트위터의 ‘RT(리트윗)’를 죽어라 누르며 ‘싸구려 인정’에 목매어 사는 사람들이라면 모두 귀담아 들을 만하다.
-5~6쪽, ‘감... 더보기"
905,"★ 역대 최장기간 연속 베스트셀러 1위!
★ 교보문고 2015년 종합 베스트셀러 1위!
★ 예스24 2015년 ‘올해의 책’ 1위!
★ 문화계 파워 100인이 선정한 2015년 올해의 책
★ 중앙일보·교보문고 선정 ‘2015 올해의 좋은 책’
★ 네이버 2015년 검색어 책 분야 1위

■ 왜 당신은 변하지 않는가?
왜 당신은 행복을 실감하지 못하는가?

평범한 직장인 A. 그에게는 고민이 하나 있는데, 바로 어릴 때부터 성격이 어두워 사람들과 쉽게 친해지지 못하는 것. 그런 탓에 친구도 얼마 없다. 직장생... 더보기"
906,"20세기 독일 문학가들 가운데 우리나라 독자들에게 가장 잘 알려진 작가를 꼽으라고 한다면 단연 헤르만 헤세일 것이다. 내면의 탐구자이자 자아 성찰의 대표 작가인 헤르만 헤세는 휴머니즘을 지향하며, 고뇌하는 청춘과 자연에 대한 동경, 인간의 양면성 등을 작품에 담았다. 도서출판 더스토리는 헤르만 헤세 탄생 140주년을 기념하여 헤르만 헤세의 대표작인 《데미안》을 초호화 패브릭 양장으로 제작하였다. 패브릭 특유의 고급스러운 색감과 감촉뿐만 아니라 1919년 출판된 독일 피셔 출판사의 초판본 표지디자인을 그대로 되살려 소장 가치를 한층 높였다. 또한 실로 꿰맨 정통적인 사철 제본을 통해 책의 내구성을 높이고 펼쳐 읽기도 편하게 만들었으며, 독일의 대표적 표지 제작 방식 중 하나인 초코박을 재현하여 오리지널 초판본의 품격과 가치를 담아냈다. 그리고 헤르만 헤세 전문 번역자이자 독일 문학 연구자인 역자의 깊이 있는 번역은 자서전적이고 철학적인 헤르만 헤세 문학의 감동을 고스란히 전해줄 것이다."
907,
908,"서문

두 세계
카인
예수 옆에 매달린 도둑
베아트리체
새는 알에서 나오려고 투쟁한다
표적 야곱의 싸움
에바 부인
종말의 시작

작품 해설
작가 연보"
909,"☆ 더스토리 오리지널 초판본 초호화 패브릭 양장의 특징 ☆
1919년 독일 피셔(S. Fischer) 출판사의 오리지널 초판본 표지디자인!
패브릭 특유의 색감과 감촉을 살린 초호화 패브릭 양장 커버!
실로 꿰맨 정통적인 사철 제본과 환양장!
독일의 대표적 표지 제작 방식 중 하나인 초코박 재현!

1919년의 ‘싱클레어’가 다시 찾아옵니다!
《데미안》은 헤르만 헤세가 1919년 ‘에밀 싱클레어’라는 가명으로 출판한 소설이다. 당시 문단에서 대문호로 인정받던 헤르만 헤세는 작가로서 자신의 소설이 작품성만으로 인정받는지 확... 더보기"
910,"토익 베스트셀러 1위! 초보를 위한 토익 입문서!
해커스 토익 스타트 Listening

1. 토익 리스닝 기초 4주 완성!
2. 토익 최신기출경향 완벽 분석 및 반영
3. 지문 끊어 듣기와 상세한 해설로 모든 지문 및 문제 꼼꼼하게 학습 가능
4. 리스닝 실력 향상과 고득점의 지름길, ""받아쓰기&쉐도잉 프로그램"" 제공
5. 실전 감각 향상을 돕는 실전모의고사(별책) 1회분 제공"
911,"▶ 『해커스 토익』 북트레일러



*출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다.
*window7의 경우 사운드 연결이 없을시, 동영상 재생에 오류가 발생할 수 있습니다. 이어폰, 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다."
912,
913,"책의 특징 ┃ 책의 구성 ┃ 토익 소개 ┃ 파트별 문제 유형 ┃ 수준별 학습 플랜 ┃ 성향별 학습 방법
받아쓰기&쉐도잉 프로그램 ┃ 미국식 ㆍ영국식 발음 차이

토익 기초

1일 Part 2, 3, 4 기초 듣기
Course 1 유사 발음 듣기
Course 2 연음, 내용어 ㆍ기능어, 끊어 듣기

2일 Part 1 기초 문법
Course 1 시제 익히기
Course 2 태 익히기

Part 1
3일 사람 중심 사진
Course 1 한 사람 사진
Course 2 여러 사람 사진

4일 사물(풍경) 중심 사진
Course 1 사물(풍경) 사진
Course 2 사물(풍경) ㆍ사람 사진

Part Test

Part 2
5일 의문사 의문문 1
Course 1 Who 의문문
Course 2 What ㆍWhich 의문문

6일 의문사 의문문 2
Course 1 Where 의문문
Course 2 When 의문문

7일 의문사 의문문 3
Course 1 How 의문문
Course 2 Why 의문문

8일 일반 의문문
Course 1 일반 의문문
Course 2 의문사가 포함된 일반 의문문

9일 부가 및 선택 의문문
Course 1 부가 의문문
Course 2 선택 의문문

10일 제안 ㆍ요청 의문문 및 평서문
Course 1 제안 ㆍ요청 의문문
Course 2 평서문

Part Test

Part 3
11일 회사 생활 1
Course 1 인사 업무
Course 2 사내 업무

12일 회사 생활 2
Course 1 회의
Course 2 사업 계획

13일 회사 생활 3
Course 1 고객 상담
Course 2 시설 관리

14일 일상 생활 1
Course 1 쇼핑 시설
Course 2 편의 시설

15일 일상 생활 2
Course 1 여가
Course 2 교통 및 주거

Part Test

Part 4
16일 메시지(Message)
Course 1 음성 메시지
Course 2 자동 응답 시스템

17일 공지(Announcement)
Course 1 사내 공지
Course 2 공공 장소 공지

18일 방송(Broadcast)
Course 1 광고
Course 2 라디오 방송

19일 보도(Report)
Course 1 교통방송 및 일기예보
Course 2 뉴스

20일 연설(Speech/Talk)
Course 1 행사 연설
Course 2 가이드의 안내

Part Test

Answer Sheet

토익 실전모의고사(별책)
해설집(책속의 책)"
914,"토익 베스트셀러 1위! 초보를 위한 토익 입문서!
해커스 토익 스타트 Listening

[이런 분에게 추천합니다]
1. 토익 시험에 대비하여 기초 실력을 다지고 싶은 모든 분들
2. 단기간에 토익 기초 실력을 향상시키고 목표 달성하고자 하는 분들

[해커스 교재만의 특장점]
1. 토익 리스닝 기초 4주 완성!
1) 초보 학습자를 위한 ‘토익 기초’ 코너를 통해 기초 발음과 문법을 학습하며 토익 리스닝의 기초 학습 가능
2) Part 1-2 비슷한 발음 듣기, Part 3-4 상황별 빈출 어휘 및 표현 학습 ... 더보기"
915,"인간은 살면서 알게 모르게 스트레스와 상처를 입는다. 특히, 경쟁에서 이기고, 성취를 얻기 위해 무한 경쟁을 해야 하는 현대인은 더 많은 스트레스와 상처를 입는다. 그 탓에 정신적, 신체적으로 너덜너덜해지고, 무기력증, 우울증, 강박증, 불면증 심지어 PTSD(외상 후 스트레스 장애)를 겪곤 한다. 쉽게 말해 트라우마를 겪게 된다는 말이다. 이처럼 스트레스와 트라우마는 연계성을 띄는 밀접한 관계에 놓여있지만 우리 인간 사회 전반에서 이런 사실을 놓치곤 한다. 일반적으로 트라우마는 매우 충격적인 사고(事故)를 겪은 사람에게서 나타난다고 믿고 있기 때문이다. 그러나 트라우마는 시간이 지나면 잊혀지는 한 순간의 사고에서 발생하지 않는다. 수많은 작은 조각으로 나뉘어 의식적 자각의 범위 밖에 저장된 감정, 행동, 감각, 이미지, 생각이 스트레스가 되어 쌓인 끝에 신체적, 정신적 작용으로 나타난다.

원하지 않는 감정, 감각, 행동 등의 외상 후 반응들은 의식과 상관없는 생존 뇌와 자율신경계에서 나타난다고 한다. 쉽게 말해 우리의 의식과 상관없이 트라우마가 발생할 수 있다는 것이다. 그러다보니 스스로 트라우마에 허덕인다는 사실을 잘 모르거나 혹은 부인해버리고, 그 결과 더 강박적으로 자신을 몰아세우니 악순환이 지속된다. 트라우마로 고통 받은 전직 군인이자 공인 임상치료사인 엘리자베스 스탠리는 이런 상황을 타개하기 위해 우리 마음 속 인내의 창을 넓히기를 제시한다. 인내의 창(window of tolerance)이란, 인간이 외부 위협이나 자극을 견딜 수 있는 범위를 말한다. 약 20만 년 전 인간이 외부 위협에 대응하기 위해 만들어진 체계인데, 인내의 창은 인간의 스트레스 수준을 조절하고, 극단적인 스트레스 혹은 위기 상황에서의 순간적 판단, 일상 속에서의 평범한 선택에 이르기까지 우리의 생존에 매우 중요한 영향을 미친다. 어떤 상황이 오더라도 인내의 창 범위 속라면 스트레스를 적절히 잘 받아낼 수 있기 때문이다.

어릴 적 경험과 과도하게 쌓인 스트레스로 트라우마를 겪은 엘리자베스 스탠리는 1장을 통해 자신의 경험을 솔직하게 고백한다. 이 고백은 특히 트라우마를 부정적으로 바라보며 부인할 수밖에 없게 만드는 오늘날 사회 전반을 꼬집는 듯하다. 이 책은 각 개인이 스트레스와 트라우마를 잘 극복하고 행복한 인생을 살 수 있도록 도와줄 수 있는 로드맵이 담긴 유용한 책이며, 한편으로 우리 사회가 여태까지 무시하려고 애쓴 스트레스와 트라우마에 접근하는 방식을 다시 성찰하고, 스트레스와 트라우마를 악화하고 성취와 행복을 해치는 근원적 구조를 파헤쳐서 더 좋은 사회가 되었으면 하는 바람이 담겨 있는 책이기도 하다. 저자가 이 책을 통해 제시하는 근본적인 트라우마 치료법과 트라우마에 대한 새로운 관점은 여러분에게 생각지도 못한 회복과 통찰을 전해줄 것이다."
916,"▶ 『최악을 극복하는 힘』 북트레일러

* 출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다.
*window7의 경우 사운드 연결이 없을시, 동영상 재생에 오류가 발생할 수 있습니다. 이어폰, 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다."
917,"추천사 - 베셀 반 데어 콜크

1부 다람쥐 쳇바퀴 위의 삶
1장 디지털 세계의 석기시대 생리학
2장 우리는 어떻게 스트레스와 트라우마의 연속성을 무시하는가

2부 인내의 창을 둘러싼 과학
3장 심신 체계의 그랜드캐니언-신경가소성과 후생유전학
4장 스트레스와 트라우마를 겪는 동안의 신체
5장 스트레스와 트라우마를 겪는 동안의 뇌
6장 부모와 애착 유형
7장 아동기 역경
8장 쇼크 트라우마
9장 일상생활
10장 과잉 각성/과소 각성

3부 인내의 창을 넓혀라
11장 전사의 전통
12장 사고 뇌와 생존 뇌의 동맹
13장 회복을 통해 회복탄력성 기르기: 미시적 수준의 주체성 1
14장 스트레스, 감정, 만성 통증에 따른 선택에 접근하기: 미시적 수준의 주체성 2
15장 한계와 저항을 능숙하게 다루기: 거시적 수준의 주체성 1
16장 불확실성과 변화 속에서 번영하기: 거시적 수준의 주체성 2
17장 인내의 창을 넓히는 습관 선택하기: 주체성을 기르는 구조적 조건
18장 집단적 인내의 창 넓히기

부록
감사의 말
미주"
918,"[추천사]
스탠리는 개인적인 경험과 스트레스 및 트라우마의 과학을 통해 용감하고 능숙한 여정을 제시한다. 이 책은 우리 사회에서 힘과 성공을 어떻게 정의하는지, 그리고 가장 높은 수준에서 힘과 성공을 쟁취하는 일이 사람들의 심신 기반을 어떻게 훼손하는지를 냉철하게 바라본다. 스탠리는 우리에게 힘과 회복탄력성에 대한 기존의 접근방식을 재고하고 변화시킬 기회를 준다. 자신의 성취욕과 성공에 희생된 많은 투지 넘치는 사람들이 반드시 읽어야 할 책이다.
- 사라 보웬 박사, 《심신자각에 근거한 중독행동의 재발예방-임상가를 위한 지침서(Mi... 더보기"
919,"윤고은의 장편소설 『밤의 여행자들』. 문학성과 다양성, 참신성을 기치로 한국문학의 미래를 이끌어 갈 신예들의 작품을 엄선한 「오늘의 젊은 작가」의 세 번째 작품이다. 한겨레문학상, 이효석문학상을 수상하며 문단에서 뜨거운 주목을 받고 있는 저자의 두 번째 장편소설로 EBS 《라디오 연재소설》을 통해 방송된 작품이다. 독특한 상상과 놀라운 현실의 세계를 엿볼 수 있다.

재난으로 폐허가 된 지역을 관광하는 재난 여행 상품만을 판매하는 여행사 ‘정글’의 수석 프로그래머 고요나가 사막의 싱크홀 ‘무이’로 떠나 엄청난 프로젝트에 휘말리면서 벌어지는 이야기를 담았다. ‘무이’를 떠나 한국행 비행기를 타기 위해 공항으로 가던 중 일행에서 낙오된 요나는 일행들과 묵었던 리조트 ‘벨에포크’로 돌아가 그곳의 매니저의 부탁을 받고 퇴출 위기에 놓인 무이를 되살리기 위한 인공 재난 시나리오에 동참하게 되는데……."
920,"1 정글 7
2 사막의 싱크홀 37
3 끊어진 열차 75
4 3주 후 99
5 마네킹의 섬 131
6 표류 167
7 일요일의 무이 201
0 맹그로브 숲 221

작가의 말 233
작품 해설_ 강유정(문학평론가)
정오의 그림자 -어디에도 없고, 어디에나 있는 235"
921,"북상하는 것.
고기압, 벚꽃, 누군가의 부음.
남하하는 것.
황사, 파업, 쓰레기.

지난 한 주간 가장 빠른 속도로 움직인 것은 부음 소식이었다. 발인이 지나면 효력을 잃어버릴, 유통기한이 짧기에 신속한 것.
소식이 시작된 곳은 경남 진해였다. 하필 벚꽃의 발원지와도 같은 곳. 어느 오후의 거대한 쓰나미 아래서, 그곳의 모든 생활들이 갑자기 점. 점. 점. 으로 끊어졌다. 꽃 마중을 갔던 사람도, 걷던 사람도, 일광욕을 하던 건물도, 해변의 가로등도, 모두 점. 점. 점. 난파당했다.
-9~10쪽... 더보기"
922,"“어느 오후의 거대한 쓰나미 아래서, 그곳의 모든 생활들이
갑자기 점. 점. 점. 으로 끊어졌다.”

한겨레문학상, 이효석문학상 수상 작가 윤고은이 펼치는 전혀 새로운 상상력
‘재난 여행’ 상품 수석 프로그래머 ‘고요나’의
기상천외하고 스펙터클한 재난 사용법

윤고은이 마지막으로 남겨 두고 싶었던 유토피아와 결별하는 소설적 공간이며 지독한 현실의 중압감을 다른 방식으로 허구화한 첫 작품이자 자신의 어떠한 문학적 기록을 거절하는 첫걸음. 단언컨대 『밤의 여행자들』은 윤고은의 소설적 세계의 전회이자 또 다른 도약임에 틀... 더보기"
